date,stock_id,stock_name,trade_volume,trade_value,open_price,high_price,low_price,close_price,price_change,transaction_count
2026-01-26,6742,澤米,866966,41554718,46.25,48.8,46.25,47.5,1.3,723
2026-01-26,6743,安普新,356828,10173843,28.95,29.45,28.0,28.05,-0.45,406
2026-01-26,6753,龍德造船,3784020,583164087,154.5,158.0,150.0,156.0,2.0,3618
2026-01-26,6754,匯僑設計,27640,1252652,45.2,45.5,45.2,45.3,0.1,37
2026-01-26,6756,威鋒電子,334099,28329580,84.4,85.9,83.4,85.5,2.1,548
2026-01-26,6757,台灣虎航,838400,57842085,68.9,69.6,68.3,69.5,0.3,895
2026-01-26,6768,志強-KY,392171,41934181,107.0,108.5,105.5,107.5,0.5,298
2026-01-26,6770,力積電,316571827,19337558827,58.5,63.7,58.5,60.6,2.1,156003
2026-01-26,6771,平和環保-創,32144,1431130,45.0,45.0,44.15,44.55,-0.45,22
2026-01-26,6776,展碁國際,1889881,115404605,59.9,62.8,58.9,60.3,0.3,1541
2026-01-26,6781,AES-KY,661658,791265185,1200.0,1220.0,1185.0,1190.0,-5.0,2551
2026-01-26,6782,視陽,128210,22434387,175.5,176.5,173.0,176.0,1.0,204
2026-01-26,6789,采鈺,3169609,910589345,283.0,291.0,282.0,283.0,8.0,4092
2026-01-26,6790,永豐實,83867,3204256,38.1,38.3,38.1,38.2,0.1,70
2026-01-26,6792,詠業,539049,33156506,63.2,63.2,59.5,59.5,-0.7,824
2026-01-26,6794,向榮生技,44126,3888492,89.9,89.9,87.3,87.6,-2.0,95
2026-01-26,6796,晉弘,91425,8116912,87.8,89.9,87.6,88.4,0.6,83
2026-01-26,6799,來頡,191350,16891140,87.5,89.0,87.4,88.7,1.2,301
2026-01-26,6805,富世達,1806855,2543903215,1400.0,1435.0,1375.0,1410.0,30.0,3521
2026-01-26,6806,森崴能源,4746583,258423009,57.1,57.1,53.3,53.9,-2.1,4088
2026-01-26,6807,峰源-KY,9102,416316,45.65,46.05,45.55,45.75,-0.1,11
2026-01-26,6830,汎銓,591903,104853188,177.5,181.0,174.0,175.0,-2.5,1430
2026-01-26,6831,邁科,1434812,363093875,241.5,262.0,241.0,255.0,16.0,2211
2026-01-26,6834,天二科技,980269,33064374,33.75,34.3,33.15,34.2,-0.2,788
2026-01-26,6835,圓裕,47001,1852490,39.0,39.9,39.0,39.25,0.35,34
